source identifier	source name	target prefix	target identifier	target name	confidence
orphanet.ordo:239	Dyggve-Melchior-Clausen disease	mondo	mondo:0009130	Dyggve-Melchior-Clausen disease	0.8
mondo:0013533	hyperlipidemia due to hepatic triglyceride lipase deficiency	orphanet.ordo	orphanet.ordo:140905	Hyperlipidemia due to hepatic triacylglycerol lipase deficiency	0.92
ncit:C128424	Middle East Respiratory Syndrome	orphanet.ordo	orphanet.ordo:576074	Middle East respiratory syndrome	0.64
orphanet.ordo:363989	Familial benign flecked retina	mondo	mondo:0009235	familial benign flecked retina	0.75
orphanet.ordo:2582	Myalgia-eosinophilia syndrome associated with tryptophan	mondo	mondo:0016822	myalgia-eosinophilia syndrome associated with tryptophan	0.78
orphanet.ordo:352587	Focal epilepsy-intellectual disability-cerebro-cerebellar malformation	mondo	mondo:0018125	focal epilepsy-intellectual disability-cerebro-cerebellar malformation	0.95
orphanet.ordo:563991	Osteochondrosis of the tarsal bone	mondo	mondo:0016086	osteochondritis of tarsal/metatarsal bone	0.56
mondo:0021026	hereditary epidermal appendage anomaly	orphanet.ordo	orphanet.ordo:183447	Genetic epidermal appendage anomaly	0.73
doid:11752	acute endophthalmitis	orphanet.ordo	orphanet.ordo:279888	Acute endophthalmitis	0.5
mondo:0008109	ocular cicatricial pemphigoid	orphanet.ordo	orphanet.ordo:99922	Ocular cicatricial pemphigoid	0.85
mondo:0011672	persistent polyclonal B-cell lymphocytosis	orphanet.ordo	orphanet.ordo:300324	Persistent polyclonal B-cell lymphocytosis	0.76
orphanet.ordo:476113	Combined immunodeficiency due to TFRC deficiency	mondo	mondo:0014760	TFRC-related combined immunodeficiency	0.88
orphanet.ordo:7	3C syndrome	mondo	mondo:0019078	Ritscher-Schinzel syndrome	0.64
orphanet.ordo:101088	X-linked hyper-IgM syndrome	gard	gard:73	Hyper-igm syndrome type 1	0.5
mondo:0013035	orofaciodigital syndrome XI	orphanet.ordo	orphanet.ordo:141000	Orofaciodigital syndrome type 11	0.87
ncit:C34682	Congo-Crimean Hemorrhagic Fever	orphanet.ordo	orphanet.ordo:99827	Crimean-Congo hemorrhagic fever	0.81
orphanet.ordo:1802	Ghosal hematodiaphyseal dysplasia	mondo	mondo:0009274	ghosal hematodiaphyseal dysplasia	0.8
orphanet.ordo:171629	Autosomal recessive spastic paraplegia type 35	mondo	mondo:0012866	hereditary spastic paraplegia 35	0.9
efo:1001287	Cestode Infections	mondo	mondo:0042488	Cestode infectious disease	0.76
mondo:0007230	Brachymorphism-onychodysplasia-dysphalangism syndrome	orphanet.ordo	orphanet.ordo:1292	Brachymorphism-onychodysplasia-dysphalangism syndrome	0.81
mondo:0018278	congenital muscular dystrophy with intellectual disability	orphanet.ordo	orphanet.ordo:370968	Congenital muscular dystrophy with intellectual disability	0.58
mondo:0014119	intellectual disability-strabismus syndrome	orphanet.ordo	orphanet.ordo:363528	Intellectual disability-strabismus syndrome	0.72
orphanet.ordo:139589	Distal hereditary motor neuropathy type 7	mondo	mondo:0015355	distal hereditary motor neuropathy type 7	0.73
mondo:0015793	moderate multiminicore disease with hand involvement	orphanet.ordo	orphanet.ordo:178145	Moderate multiminicore disease with hand involvement	0.73
orphanet.ordo:488650	Distal myopathy, Tateyama type	mondo	mondo:0013686	distal myopathy, Tateyama type	0.74
mondo:0015032	intraneural perineurioma	orphanet.ordo	orphanet.ordo:100003	Intraneural perineurioma	0.75
mondo:0007417	Darier disease	orphanet.ordo	orphanet.ordo:218	Darier disease	0.76
orphanet.ordo:25	Glutaryl-CoA dehydrogenase deficiency	mondo	mondo:0009281	glutaryl-CoA dehydrogenase deficiency	0.64
mondo:0019982	bilateral multicystic dysplastic kidney	orphanet.ordo	orphanet.ordo:97364	Bilateral multicystic dysplastic kidney	0.84
mondo:0033481	spinocerebellar ataxia 46	orphanet.ordo	orphanet.ordo:589522	Spinocerebellar ataxia type 46	0.57
efo:0001068	malaria	orphanet.ordo	orphanet.ordo:673	Malaria	0.73
efo:0007455	progressive multifocal leukoencephalopathy	orphanet.ordo	orphanet.ordo:217260	Progressive multifocal leukoencephalopathy	0.83
orphanet.ordo:251896	Choroid plexus tumor	mondo	mondo:0016717	choroid plexus neoplasm	0.78
mondo:0014212	sulfite oxidase deficiency due to molybdenum cofactor deficiency type C	orphanet.ordo	orphanet.ordo:308400	Sulfite oxidase deficiency due to molybdenum cofactor deficiency type C	0.83
icd10:E70-E90	Metabolic disorders	ncit	ncit:C3235	Metabolic Disorder	0.53
orphanet.ordo:2484	Melnick-Needles syndrome	mondo	mondo:0010650	Melnick-Needles syndrome	0.75
orphanet.ordo:231450	Acute pure sensory neuropathy	mondo	mondo:0016498	acute pure sensory neuropathy	0.85
ncit:C34825	Kawasaki Disease	orphanet.ordo	orphanet.ordo:2331	Kawasaki disease	0.68
doid:0070614	chromosome 11 partial duplication syndrome	mondo	mondo:0016932	partial duplication of chromosome 11	0.77
ncit:C6985	Invasive Hydatidiform Mole	orphanet.ordo	orphanet.ordo:99925	Invasive mole	0.76
orphanet.ordo:79083	PPARG-related familial partial lipodystrophy	mondo	mondo:0011448	PPARG-related familial partial lipodystrophy	0.75
mondo:0012516	mandibulofacial dysostosis-microcephaly syndrome	orphanet.ordo	orphanet.ordo:79113	Mandibulofacial dysostosis-microcephaly syndrome	0.79
mondo:0010261	microphthalmia, syndromic 2	orphanet.ordo	orphanet.ordo:2712	Oculofaciocardiodental syndrome	0.6
orphanet.ordo:673	Malaria	mesh	mesh:D008288	Malaria	0.54
mondo:0015194	sideroblastic anemia	orphanet.ordo	orphanet.ordo:1047	Sideroblastic anemia	0.78
doid:9892	median arcuate ligament syndrome	orphanet.ordo	orphanet.ordo:293208	Celiac artery compression syndrome	0.82
orphanet.ordo:284139	Larsen-like syndrome, B3GAT3 type	mondo	mondo:0009511	Larsen-like syndrome, B3GAT3 type	0.59
mondo:0015864	mixed germ cell tumor	orphanet.ordo	orphanet.ordo:180234	Mixed germ cell tumor	0.73
orphanet.ordo:54370	Primary membranoproliferative glomerulonephritis	mondo	mondo:0018904	primary membranoproliferative glomerulonephritis	0.9
orphanet.ordo:95462	Accessory tricuspid valve tissue	mondo	mondo:0019815	accessory tricuspid valve tissue	0.76
mondo:0015644	audiogenic seizures	orphanet.ordo	orphanet.ordo:166415	Audiogenic seizures	0.76
orphanet.ordo:529	Roch-Leri mesosomatous lipomatosis	mondo	mondo:0018884	Roch-Leri mesosomatous lipomatosis	0.78
ncit:C4276	Juvenile Breast Fibroadenoma	mondo	mondo:0002056	breast fibroadenoma	0.78
efo:1002047	spotted fever	orphanet.ordo	orphanet.ordo:102022	Spotted fever rickettsiosis	0.94
mondo:0007680	multinodular goiter-cystic kidney-polydactyly syndrome	orphanet.ordo	orphanet.ordo:2091	Multinodular goiter-cystic kidney-polydactyly syndrome	0.74
ncit:C7052	Myofibroma	doid	doid:4386	myofibroma	0.89
orphanet.ordo:247685	Odontohypophosphatasia	mondo	mondo:0016607	odontohypophosphatasia	0.73
orphanet.ordo:104075	Adenocarcinoma of the small intestine	doid	doid:4906	small intestine adenocarcinoma	0.74
mondo:0009835	subacute sclerosing panencephalitis	orphanet.ordo	orphanet.ordo:2806	Subacute sclerosing leukoencephalitis	0.84
mondo:0009731	nephrosis-deafness-urinary tract-digital malformations syndrome	orphanet.ordo	orphanet.ordo:2669	Nephrosis-deafness-urinary tract-digital malformations syndrome	0.85
orphanet.ordo:902	Werner syndrome	mondo	mondo:0010196	Werner syndrome	0.65
orphanet.ordo:178478	Infant botulism	mondo	mondo:0015804	infant botulism	0.78
mesh:D004404	Dysentery, Amebic	ncit	ncit:C34558	Amebic Colitis	0.64
mesh:D005368	Filariasis	orphanet.ordo	orphanet.ordo:2034	Filariasis	0.73
mondo:0044919	malignant renal pelvis neoplasm	doid	doid:4919	renal pelvis carcinoma	0.84
orphanet.ordo:217017	Zechi-Ceide syndrome	mondo	mondo:0013036	Zechi-Ceide syndrome	0.74
mondo:0013778	pseudohypoaldosteronism type 2C	orphanet.ordo	orphanet.ordo:88940	Pseudohypoaldosteronism type 2C	0.73
mondo:0007549	generalized dominant dystrophic epidermolysis bullosa	orphanet.ordo	orphanet.ordo:231568	Autosomal dominant generalized dystrophic epidermolysis bullosa	0.63
orphanet.ordo:99710	Punctate acrokeratoderma freckle-like pigmentation	mondo	mondo:0036918	punctate acrokeratoderma freckle-like pigmentation	0.77
mesh:D008587	Meningitis, Viral	ncit	ncit:C118298	Viral Meningitis	0.89
orphanet.ordo:98964	Lattice corneal dystrophy type I	mondo	mondo:0007380	lattice corneal dystrophy type I	0.81
doid:0050481	endemic typhus	mesh	mesh:D014437	Typhus, Endemic Flea-Borne	0.64
mondo:0018117	disorder of phospholipids, sphingolipids and fatty acids biosynthesis	orphanet.ordo	orphanet.ordo:352301	Disorder of phospholipids, sphingolipids and fatty acids biosynthesis	0.78
mondo:0018130	brain dopamine-serotonin vesicular transport disease	orphanet.ordo	orphanet.ordo:352649	Brain dopamine-serotonin vesicular transport disease	0.59
mondo:0008152	multicentric carpo-tarsal osteolysis with or without nephropathy	orphanet.ordo	orphanet.ordo:2774	Multicentric carpo-tarsal osteolysis with or without nephropathy	0.89
ncit:C27038	Idiopathic Hypereosinophilic Syndrome	orphanet.ordo	orphanet.ordo:168956	Hypereosinophilic syndrome	0.52
mondo:0017870	supravalvular pulmonary stenosis	orphanet.ordo	orphanet.ordo:3192	Supravalvular pulmonary stenosis	0.72
ncit:C26685	Placental Abruption	doid	doid:9667	placental abruption	0.9
ncit:C34890	Panic Disorder	mesh	mesh:D016584	Panic Disorder	0.95
mondo:0008442	spastic paraplegia-neuropathy-poikiloderma syndrome	orphanet.ordo	orphanet.ordo:2821	Spastic paraplegia-neuropathy-poikiloderma syndrome	0.77
orphanet.ordo:79136	Episodic ataxia type 4	mondo	mondo:0011681	episodic ataxia type 4	0.56
orphanet.ordo:1808	Hidrotic ectodermal dysplasia, Christianson-Fourie type	mondo	mondo:0011063	hidrotic ectodermal dysplasia, Christianson-Fourie type	0.82
orphanet.ordo:71864	Muscular channelopathy	mondo	mondo:0019119	muscular channelopathy	0.84
orphanet.ordo:341	Viral hemorrhagic fever	mondo	mondo:0018087	viral hemorrhagic fever	0.78
ncit:C96406	Measles	mesh	mesh:D008457	Measles	0.82
mondo:0010038	growth delay due to insulin-like growth factor I resistance	orphanet.ordo	orphanet.ordo:73273	Growth delay due to insulin-like growth factor I resistance	0.95
orphanet.ordo:223713	Mitochondrial oxidative phosphorylation disorder	mondo	mondo:0016387	mitochondrial oxidative phosphorylation disorder	0.75
orphanet.ordo:210272	Mal de débarquement	mondo	mondo:0016217	mal de Debarquement	0.79
efo:1001262	Alternariosis	mondo	mondo:0044083	alternariosis	0.95
orphanet.ordo:547	Non-Hodgkin lymphoma	mondo	mondo:0018908	non-Hodgkin lymphoma	0.8
mondo:0015169	chronic diarrhea due to glucoamylase deficiency	orphanet.ordo	orphanet.ordo:103907	Chronic diarrhea due to glucoamylase deficiency	0.81
mesh:D000038	Abscess	ncit	ncit:C26686	Abscess	0.98
orphanet.ordo:93672	Juvenile dermatomyositis	doid	doid:14203	childhood type dermatomyositis	0.75
orphanet.ordo:29207	Reactive arthritis	efo	efo:0007460	reactive arthritis	0.56
mondo:0015689	myeloid neoplasm associated with PDGFRA rearrangement	orphanet.ordo	orphanet.ordo:168947	Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement	0.75
mondo:0018637	familial chylomicronemia syndrome	orphanet.ordo	orphanet.ordo:444490	Familial chylomicronemia syndrome	0.76
orphanet.ordo:263413	Angiosarcoma	mondo	mondo:0016982	angiosarcoma	0.72
orphanet.ordo:85102	Perineurioma	mondo	mondo:0019404	perineurioma	0.82
orphanet.ordo:98252	Infectious encephalitis	mondo	mondo:0020067	infectious encephalitis	0.77
orphanet.ordo:227510	Multiple system atrophy, cerebellar type	mondo	mondo:0016418	multiple system atrophy, cerebellar type	0.52
mondo:0015452	Coffin-Siris syndrome	orphanet.ordo	orphanet.ordo:1465	Coffin-Siris syndrome	0.63
mondo:0018311	acromelanosis	orphanet.ordo	orphanet.ordo:39	Acromelanosis	0.77
orphanet.ordo:46487	Epidermolysis bullosa acquisita	mondo	mondo:0018747	acquired epidermolysis bullosa	0.75
orphanet.ordo:404440	Intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency	mondo	mondo:0014336	intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency	0.65
mondo:0020073	obsolete adolescent-onset epilepsy syndrome	orphanet.ordo	orphanet.ordo:98260	Adolescent-onset epilepsy syndrome	0.78
ncit:C199391	Primary Cutaneous Amyloidosis	doid	doid:0050639	primary cutaneous amyloidosis	0.76
ncit:C84445	Nonalcoholic Steatohepatitis	doid	doid:0080547	metabolic dysfunction-associated steatohepatitis	0.84
mesh:D003693	Delirium	ncit	ncit:C2981	Delirium	0.9
mondo:0011758	Hurler syndrome	orphanet.ordo	orphanet.ordo:93473	Hurler syndrome	0.61
orphanet.ordo:2704	Urofacial syndrome	omim.ps	omim.ps:236730	Urofacial syndrome	0.7
orphanet.ordo:583	Mucopolysaccharidosis type 6	mondo	mondo:0009661	mucopolysaccharidosis type 6	0.57
mondo:0016197	qualitative or quantitative defects of selenoprotein N1	orphanet.ordo	orphanet.ordo:209193	Qualitative or quantitative defects of selenoprotein N1	0.76
mondo:0019502	autosomal recessive non-syndromic intellectual disability	orphanet.ordo	orphanet.ordo:88616	Autosomal recessive non-syndromic intellectual disability	0.81
orphanet.ordo:48372	Nodular regenerative hyperplasia of the liver	mondo	mondo:0018835	nodular regenerative hyperplasia of the liver	0.62
mondo:0017789	idiopathic linear interstitial keratitis	orphanet.ordo	orphanet.ordo:314017	Idiopathic linear interstitial keratitis	0.77
orphanet.ordo:178563	Primary cutaneous B-cell lymphoma	mondo	mondo:0015820	primary cutaneous B-cell lymphoma	0.87
doid:13238	Haverhill fever	ncit	ncit:C34971	Rat-Bite Fever	0.66
doid:0050398	Carrion's disease	ncit	ncit:C128441	Carrión Disease	0.92
orphanet.ordo:3324	Familial thrombomodulin anomalies	mondo	mondo:0018047	familial thrombomodulin anomalies	0.87
mondo:0010650	Melnick-Needles syndrome	orphanet.ordo	orphanet.ordo:2484	Melnick-Needles syndrome	0.75
orphanet.ordo:357027	Hereditary retinoblastoma	doid	doid:4648	familial retinoblastoma	0.6
mesh:D012553	Schistosomiasis haematobia	ncit	ncit:C39294	Schistosoma Hematobium Infection	0.84
orphanet.ordo:93279	Mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis	mondo	mondo:0011496	mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis	0.78
mondo:0017474	macrodactyly of fingers	orphanet.ordo	orphanet.ordo:295044	Macrodactyly of fingers	0.77
mondo:0005846	microsporidiosis	orphanet.ordo	orphanet.ordo:2552	Microsporidiosis	0.76
ncit:C34416	Behcet Syndrome	orphanet.ordo	orphanet.ordo:117	Behçet disease	0.9
orphanet.ordo:329173	Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis	mondo	mondo:0017992	autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis	0.74
orphanet.ordo:1070	Anisakiasis	mesh	mesh:D017129	Anisakiasis	0.75
mondo:0019321	atypical Werner syndrome	orphanet.ordo	orphanet.ordo:79474	Atypical Werner syndrome	0.77
orphanet.ordo:36	Acrocallosal syndrome	ncit	ncit:C84531	Acrocallosal Syndrome	0.76
orphanet.ordo:829	Adult-onset Still disease	efo	efo:0007135	adult-onset Still's disease	0.73
mondo:0015820	primary cutaneous B-cell lymphoma	orphanet.ordo	orphanet.ordo:178563	Primary cutaneous B-cell lymphoma	0.87
doid:0080764	hereditary diffuse gastric cancer	orphanet.ordo	orphanet.ordo:26106	Hereditary diffuse gastric cancer	0.74
orphanet.ordo:157794	Hereditary mixed polyposis syndrome	mondo	mondo:0011023	hereditary mixed polyposis syndrome	0.75
mesh:D012523	Sarcocystosis	orphanet.ordo	orphanet.ordo:54368	Sarcocystosis	0.77
doid:0080637	isolated microphthalmia	omim.ps	omim.ps:251600	Microphthalmia, isolated	0.7
orphanet.ordo:324535	Combined oxidative phosphorylation defect type 11	mondo	mondo:0013969	combined oxidative phosphorylation defect type 11	0.9
orphanet.ordo:168601	Congenital enteropathy due to enteropeptidase deficiency	mondo	mondo:0009173	congenital enteropathy due to enteropeptidase deficiency	0.9
orphanet.ordo:2001	Cleft lip/palate-intestinal malrotation-cardiopathy syndrome	mondo	mondo:0011008	cleft lip/palate-intestinal malrotation-cardiopathy syndrome	0.97
mondo:0958265	idiopathic scleritis	orphanet.ordo	orphanet.ordo:648675	Idiopathic scleritis	0.76
mondo:0016303	congenitally uncorrected transposition of the great arteries with cardiac malformation	orphanet.ordo	orphanet.ordo:216729	Congenitally uncorrected transposition of the great arteries with cardiac malformation	0.72
orphanet.ordo:877	Neuroendocrine neoplasm	efo	efo:1001901	neuroendocrine neoplasm	0.87
mondo:0010068	spondyloepimetaphyseal dysplasia, sponastrime type	orphanet.ordo	orphanet.ordo:93357	SPONASTRIME dysplasia	0.81
mondo:0035008	isolated splenic vein thrombosis	orphanet.ordo	orphanet.ordo:583856	Isolated splenic vein thrombosis	0.77
mondo:0008725	congenital lipoid adrenal hyperplasia due to STAR deficency	orphanet.ordo	orphanet.ordo:90790	Congenital lipoid adrenal hyperplasia due to STAR deficency	0.73
mondo:0017769	acquired immunodeficiency	orphanet.ordo	orphanet.ordo:310050	Acquired immunodeficiency	0.86
orphanet.ordo:404466	Female infertility due to zona pellucida defect	mondo	mondo:0014342	female infertility due to zona pellucida defect	0.67
orphanet.ordo:99130	Congenital partial agenesis of pericardium	mondo	mondo:0020455	congenital partial agenesis of pericardium	0.76
orphanet.ordo:261257	Distal 17p13.3 microdeletion syndrome	mondo	mondo:0016839	distal 17p13.3 microdeletion syndrome	0.89
ncit:C35067	Lateral Epicondylitis	mondo	mondo:0001875	epicondylitis	0.55
orphanet.ordo:88661	Amelogenesis imperfecta	mondo	mondo:0019507	amelogenesis imperfecta	0.77
mondo:0019869	mosaic trisomy 22	orphanet.ordo	orphanet.ordo:96068	Mosaic trisomy 22 syndrome	0.61
orphanet.ordo:300888	Diffuse large B-cell lymphoma with chronic inflammation	mondo	mondo:0017601	diffuse large B-cell lymphoma with chronic inflammation	0.73
mondo:0016019	Rasmussen subacute encephalitis	orphanet.ordo	orphanet.ordo:1929	Rasmussen subacute encephalitis	0.84
mondo:0957462	primary pulmonary tuberculosis	orphanet.ordo	orphanet.ordo:645814	Primary pulmonary tuberculosis	0.76
orphanet.ordo:363582	Gonadal germ cell tumor	mondo	mondo:0018202	gonadal germ cell tumor	0.75
mondo:0008393	Rubinstein-Taybi syndrome due to CREBBP mutations	orphanet.ordo	orphanet.ordo:353277	Rubinstein-Taybi syndrome due to CREBBP mutations	0.61
orphanet.ordo:90363	Secondary intestinal lymphangiectasia	mondo	mondo:0019574	secondary intestinal lymphangiectasia	0.77
omim.ps:160120	Episodic ataxia	efo	efo:1000638	Isaacs syndrome	0.51
mondo:0005680	Brill-Zinsser disease	orphanet.ordo	orphanet.ordo:99990	Brill-Zinsser disease	0.72
mondo:0008201	Perry syndrome	orphanet.ordo	orphanet.ordo:178509	Perry syndrome	0.65
orphanet.ordo:335	Congenital fibrinogen deficiency	mondo	mondo:0018060	congenital fibrinogen deficiency	0.82
orphanet.ordo:102022	Spotted fever rickettsiosis	efo	efo:1002047	spotted fever	0.94
ncit:C3811	Malignant Salivary Gland Neoplasm	doid	doid:8850	salivary gland cancer	1.05
orphanet.ordo:1203	Duodenal atresia	ncit	ncit:C101025	Duodenal Atresia	0.73
orphanet.ordo:313936	PENS syndrome	mondo	mondo:0017785	PENS syndrome	0.77
ncit:C2967	Cryptococcosis	orphanet.ordo	orphanet.ordo:1546	Cryptococcosis	0.79
orphanet.ordo:645291	Transitional extramedullary conus spinal cord lipoma	mondo	mondo:0970958	transitional extramedullary conus spinal cord lipoma	0.5
ncit:C45840	Functioning Pancreatic Neuroendocrine Tumor	orphanet.ordo	orphanet.ordo:506060	Functioning neuroendocrine tumor of pancreas	0.74
mondo:0020121	muscular dystrophy	orphanet.ordo	orphanet.ordo:98473	Muscular dystrophy	0.79
ncit:C3133	Erectile Dysfunction	mondo	mondo:0005362	erectile dysfunction	0.69
orphanet.ordo:357225	Primary non-essential cutis verticis gyrata	mondo	mondo:0018168	primary non-essential cutis verticis gyrata	0.77
orphanet.ordo:94087	Cytophagic histiocytic panniculitis	mondo	mondo:0019789	cytophagic histiocytic panniculitis	0.76
doid:11394	adult respiratory distress syndrome	orphanet.ordo	orphanet.ordo:70578	Adult acute respiratory distress syndrome	0.64
ncit:C99236	Neonatal Lupus Erythematosus	orphanet.ordo	orphanet.ordo:398124	Neonatal lupus erythematosus	0.79
mondo:0017363	idiopathic chronic eosinophilic pneumonia	orphanet.ordo	orphanet.ordo:2902	Idiopathic chronic eosinophilic pneumonia	0.84
orphanet.ordo:64734	Iridocorneal endothelial syndrome	mondo	mondo:0018988	iridocorneal endothelial syndrome	0.87
mondo:0010787	Kearns-Sayre syndrome	orphanet.ordo	orphanet.ordo:480	Kearns-Sayre syndrome	0.52
orphanet.ordo:538869	Bullous pyoderma gangrenosum	mondo	mondo:0035237	bullous pyoderma gangrenosum	0.72
mondo:0015237	arrhinia	orphanet.ordo	orphanet.ordo:1134	Isolated arrhinia	0.69
orphanet.ordo:1275	Brachydactyly-elbow wrist dysplasia syndrome	mondo	mondo:0008520	brachydactyly-elbow wrist dysplasia syndrome	0.89
mondo:0006033	diffuse intrinsic pontine glioma	orphanet.ordo	orphanet.ordo:497188	Diffuse intrinsic pontine glioma	0.72
orphanet.ordo:488647	DDX41-related hematologic malignancy predisposition syndrome	mondo	mondo:0014809	DDX41-related hematologic malignancy predisposition syndrome	0.67
orphanet.ordo:166096	Von Willebrand disease type 3	mondo	mondo:0010191	von Willebrand disease 3	0.83
orphanet.ordo:211017	Spinocerebellar ataxia type 30	mondo	mondo:0013241	spinocerebellar ataxia type 30	0.83
mondo:0016294	Hirschsprung disease-type D brachydactyly syndrome	orphanet.ordo	orphanet.ordo:2150	Hirschsprung disease-type D brachydactyly syndrome	0.91
orphanet.ordo:3166	Sialuria	mondo	mondo:0010028	sialuria	0.76
mondo:0018873	anterior cutaneous nerve entrapment syndrome	orphanet.ordo	orphanet.ordo:51890	Anterior cutaneous nerve entrapment syndrome	0.76
orphanet.ordo:353284	Rubinstein-Taybi syndrome due to EP300 haploinsufficiency	mondo	mondo:0013364	Rubinstein-Taybi syndrome due to EP300 haploinsufficiency	0.81
orphanet.ordo:251899	Choroid plexus carcinoma	mondo	mondo:0016718	choroid plexus carcinoma	0.73
orphanet.ordo:210159	Adult hepatocellular carcinoma	mondo	mondo:0016216	adult hepatocellular carcinoma	0.76
orphanet.ordo:168999	Malignant melanoma of the mucosa	mondo	mondo:0015694	malignant melanoma of the mucosa	0.93
mesh:D006519	Hepatitis, Alcoholic	ncit	ncit:C34684	Alcoholic Hepatitis	0.89
efo:0007143	alveolar soft part sarcoma	orphanet.ordo	orphanet.ordo:163699	Alveolar soft tissue sarcoma	0.73
mondo:0016029	esthesioneuroblastoma	orphanet.ordo	orphanet.ordo:1957	Esthesioneuroblastoma	0.74
orphanet.ordo:329	Congenital factor XI deficiency	mondo	mondo:0012897	congenital factor XI deficiency	0.9
orphanet.ordo:156149	Immune complex mediated vasculitis	mondo	mondo:0015491	immune complex mediated vasculitis	0.77
orphanet.ordo:3343	Toxocariasis	mondo	mondo:0005988	toxocariasis	0.76
orphanet.ordo:79499	Autosomal dominant deafness-onychodystrophy syndrome	mondo	mondo:0007420	autosomal dominant deafness - onychodystrophy syndrome	0.64
mondo:0019450	lissencephaly with cerebellar hypoplasia	orphanet.ordo	orphanet.ordo:86823	Lissencephaly with cerebellar hypoplasia	0.77
mondo:0013941	metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria	orphanet.ordo	orphanet.ordo:99646	Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria	0.88
mondo:0013981	myoclonus, familial	orphanet.ordo	orphanet.ordo:319189	Familial cortical myoclonus	0.97
ncit:C88411	Obsessive Compulsive Disorder	mesh	mesh:D009771	Obsessive-Compulsive Disorder	0.96
ncit:C34880	Bone Necrosis	orphanet.ordo	orphanet.ordo:399158	Osteonecrosis	0.76
orphanet.ordo:329324	Inverse Klippel-Trénaunay syndrome	mondo	mondo:0018001	inverse Klippel-Trenaunay syndrome	0.76
mondo:0001208	acute respiratory failure	doid	doid:11162	respiratory failure	0.89
orphanet.ordo:79219	Metabolic disease involving other neurotransmitter deficiency	mondo	mondo:0019253	metabolic disease involving other neurotransmitter deficiency	0.8
orphanet.ordo:140481	Autosomal dominant slowed nerve conduction velocity	mondo	mondo:0011998	autosomal dominant slowed nerve conduction velocity	0.9
mondo:0009662	mucopolysaccharidosis type 7	orphanet.ordo	orphanet.ordo:584	Mucopolysaccharidosis type 7	0.6
orphanet.ordo:98626	Stromal corneal dystrophy	mondo	mondo:0020213	stromal corneal dystrophy	0.9
ncit:C128410	Rocky Mountain Spotted Fever	doid	doid:0050052	Rocky Mountain spotted fever	0.64
mondo:0013368	mammary-digital-nail syndrome	orphanet.ordo	orphanet.ordo:238744	Mammary-digital-nail syndrome	0.8
mondo:0009853	Imerslund-Grasbeck syndrome	orphanet.ordo	orphanet.ordo:35858	Imerslund-Gräsbeck syndrome	0.58
orphanet.ordo:98981	Essential iris atrophy	mondo	mondo:0020371	essential iris atrophy	0.75
orphanet.ordo:284818	Disorder of tyrosine metabolism	mondo	mondo:0017307	disorder of tyrosine metabolism	0.8
orphanet.ordo:83600	Encephalitis lethargica	ncit	ncit:C26761	Encephalitis Lethargica	0.75
orphanet.ordo:206586	Neurolymphomatosis	mondo	mondo:0016101	neurolymphomatosis	0.58
orphanet.ordo:423975	Neuroendocrine tumor of the small intestine	mondo	mondo:0018510	small intestine neuroendocrine neoplasm	0.89
orphanet.ordo:1040	Metaphyseal anadysplasia	mondo	mondo:0015177	metaphyseal anadysplasia	0.59
mondo:0015763	mosaic trisomy 2	orphanet.ordo	orphanet.ordo:1723	Mosaic trisomy 2 syndrome	0.62
orphanet.ordo:319558	Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency	mondo	mondo:0013954	Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency	0.73
orphanet.ordo:275777	Heritable pulmonary arterial hypertension	mondo	mondo:0017148	heritable pulmonary arterial hypertension	0.72
mondo:0010460	syndromic X-linked intellectual disability 17	orphanet.ordo	orphanet.ordo:289483	Intellectual disability-alacrima-achalasia syndrome	0.79
orphanet.ordo:231111	Drug-induced lupus erythematosus	ncit	ncit:C114354	Drug Induced Lupus Erythematosus	0.73
orphanet.ordo:93100	Renal agenesis, unilateral	ncit	ncit:C101220	Unilateral Renal Agenesis	0.52
orphanet.ordo:423968	Squamous cell carcinoma of the small intestine	mondo	mondo:0018509	squamous cell carcinoma of the small intestine	0.86
mondo:0009803	congenital osteogenesis imperfecta-microcephaly-cataracts syndrome	orphanet.ordo	orphanet.ordo:2772	Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome	0.89
mondo:0011841	biotin-responsive basal ganglia disease	orphanet.ordo	orphanet.ordo:199348	Thiamine-responsive encephalopathy	0.6
orphanet.ordo:99079	Cervical aortic arch	efo	efo:1001857	Takayasu arteritis	0.53
orphanet.ordo:98506	Acquired motor neuron disease	mondo	mondo:0020129	acquired motor neuron disease	0.79
ncit:C117009	Familial Hemiplegic Migraine	doid	doid:0060178	familial hemiplegic migraine	0.84
mondo:0011795	anonychia-microcephaly syndrome	orphanet.ordo	orphanet.ordo:1094	Anonychia-microcephaly syndrome	0.87
